sex,age,priors_count,days_b_screening_arrest,score_text,c_charge_degree,race_0,race_1,race_2,race_3,race_4,race_5,class
1,35,1,-1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,30,1,-1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,33,3,-1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,26,5,-1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,28,0,-1.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,34,7,-245.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
1,30,0,-1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1,44,6,-1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,42,16,-1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,20,0,-1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,39,1,-2.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1,40,1,-1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1,53,1,-1.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,23,0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,38,0,0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0
1,21,1,0.0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,1
1,32,2,-23.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,39,0,-1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1,44,0,-1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0
1,67,1,-1.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,53,1,-23.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1,26,0,-1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,23,2,-2.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1
1,51,1,-11.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,41,0,-1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
1,20,1,0.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1
1,34,0,-1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,26,0,-1.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,34,0,-1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1
1,57,0,-2.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,22,2,0.0,2,1,1.0,0.0,0.0,0.0,0.0,0.0,1
1,39,2,-120.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,22,0,-1.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0
1,40,2,-1.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0
1,24,0,63.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1
1,20,1,-189.0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,1
1,54,9,-13.0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0
1,24,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,27,6,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,51,0,-1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1,27,3,-1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1
1,41,0,-1.0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0
1,39,2,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0
1,24,1,-1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
1,20,1,38.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
1,49,3,-1.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,47,10,-1.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,34,5,-412.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,21,0,-1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1
1,31,4,0.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,33,21,-6.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1
1,24,1,-1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,22,13,-1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1
1,28,1,-1.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1
1,40,15,-1.0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0
1,26,3,-1.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1
1,24,3,-1.0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,1
